alias_name,standard_name
SWin_Avg,SWin_Avg
SWout_Avg,SWout_Avg
LWin_Avg,LWin_Avg
LWout_Avg,LWout_Avg
Rnet_Avg,Rnet_Avg
SWnet_Avg,SWnet_Avg
LWnet_Avg,LWnet_Avg
Rin_Avg,Rin_Avg
Rout_Avg,Rout_Avg
Albedo_Avg,Albedo_Avg
Tsrf_Avg,Tsrf_Avg
Tsky_Avg,Tsky_Avg
Tair_1_Avg,Tair_1_Avg
RH_1_Avg,RH_1_Avg
Tair_2_Avg,Tair_2_Avg
RH_2_Avg,RH_2_Avg
WS_Avg,WS_Avg
WSrs_Avg,WSrs_Avg
WDrs_Avg,WDrs_Avg
WD_StdCS,WD_StdCS
WDuv_Avg,WDuv_Avg
Tsoil_TCAV_Avg,Tsoil_Avg
SHF_1_8cm_Avg,SHF_1_Avg
SHF_2_8cm_Avg,SHF_2_Avg
SHFsrf_Avg,SHFsrf_Avg
SM_1_V15cm_Avg,SM_1_Avg
SM_2_V35cm_Avg,SM_2_Avg
RF_Tot,RF_Tot
FC_Tot,FC_Tot
P,P
Psl,Psl
